workload_id,input_file,resolution,codec,preset,crf,fps
C01,input_1080p.mp4,1080p,libx264,fast,23,30
C02,input_1080p.mp4,1080p,libx264,medium,23,30
C03,input_1080p.mp4,1080p,libx264,slow,23,30
C04,input_1080p.mp4,1080p,libx265,fast,23,30
C05,input_1080p.mp4,1080p,libx265,medium,23,30
C06,input_1080p.mp4,1080p,libx265,slow,23,30
C07,input_1440p.mp4,1440p,libx264,fast,23,30
C08,input_1440p.mp4,1440p,libx264,medium,23,30
C09,input_1440p.mp4,1440p,libx264,slow,23,30
C10,input_1440p.mp4,1440p,libx265,fast,23,30
C11,input_1440p.mp4,1440p,libx265,medium,23,30
C12,input_1440p.mp4,1440p,libx265,slow,23,30
C13,input_4k.mp4,4k,libx264,fast,23,30
C14,input_4k.mp4,4k,libx264,medium,23,30
C15,input_4k.mp4,4k,libx264,slow,23,30
C16,input_4k.mp4,4k,libx265,fast,23,30
C17,input_4k.mp4,4k,libx265,medium,23,30
C18,input_4k.mp4,4k,libx265,slow,23,30
